symbol1,symbol2,p_value
DCRUSDT,FORTHUSDT,3.5111449627675366e-08
WLDUSDT,WUSDT,3.5268652510876326e-08
ICXUSDT,OXTUSDT,3.585118888378403e-08
LSKUSDT,NEOUSDT,3.670811686461227e-08
CVCUSDT,XECUSDT,3.791478859909587e-08
GRTUSDT,SUSHIUSDT,3.971286696534412e-08
PIVXUSDT,STEEMUSDT,4.238002634559967e-08
ENJUSDT,ILVUSDT,4.394837816819992e-08
KSMUSDT,TKOUSDT,4.41489041220128e-08
ETHFIUSDT,PIXELUSDT,4.425393484947969e-08
FIDAUSDT,RADUSDT,4.6148698417707795e-08
BBUSDT,MEUSDT,4.93321129612688e-08
1INCHUSDT,BANDUSDT,4.99155775079457e-08
AVAUSDT,FLMUSDT,5.27375065575247e-08
NFPUSDT,WOOUSDT,5.5230757544171055e-08
OXTUSDT,ZRXUSDT,5.61517442506991e-08
1INCHUSDT,FUNUSDT,5.6532070941444876e-08
BNTUSDT,UTKUSDT,5.690504862135351e-08
C98USDT,PERPUSDT,5.697518497993127e-08
SUSHIUSDT,UMAUSDT,6.375316878320204e-08
BNTUSDT,RVNUSDT,6.413678567941464e-08
COTIUSDT,YGGUSDT,6.606804932818878e-08
C98USDT,XECUSDT,6.710405404214479e-08
MBOXUSDT,YGGUSDT,6.798493067373656e-08
FLMUSDT,KSMUSDT,6.846900875430041e-08
COMPUSDT,DASHUSDT,7.53712202098957e-08
AVAUSDT,DASHUSDT,8.065132932468591e-08
C98USDT,QTUMUSDT,8.078400631159915e-08
ALGOUSDT,YGGUSDT,8.461782128938028e-08
DASHUSDT,IOTAUSDT,8.707025199094626e-08
BATUSDT,ILVUSDT,9.053391295689089e-08
AMPUSDT,QIUSDT,9.100400282447436e-08
ALCXUSDT,GTCUSDT,9.208704394540503e-08
BICOUSDT,SPELLUSDT,9.669070514819384e-08
EGLDUSDT,YGGUSDT,9.694226112019296e-08
